Ensembl_ID,log1p_diff,T stat,p_value,gene_name
ENSG00000215398.10,-0.01678791021768643,-2.7523325204046194,0.006725145913872109,RP11-754I20.1
ENSG00000206906.1,0.010605831953803045,0.9999999999999999,0.32317610154595444,RNU6-458P
ENSG00000257171.2,-0.0015565816683237913,-1.9752238383761782,0.05026753971423377,RP11-754I20.3
ENSG00000257356.2,0.0,,,BNIP3P6
ENSG00000238442.1,0.0,,,CR383657.1
ENSG00000257959.1,0.003322050319644333,1.0,0.32317610154595444,RP11-536C10.4
ENSG00000257721.1,0.0,,,RP11-536C10.2
ENSG00000258367.2,0.004087639285686933,1.0,0.32317610154595444,RP11-536C10.3
ENSG00000257825.1,0.0,,,RP11-536C10.5
ENSG00000257115.1,-0.004267466389234808,-2.0621175149936737,0.04110023337641125,OR11H12
ENSG00000257672.2,0.0011141865937037872,0.06592593798029538,0.9475576716716936,RP11-536C10.17
ENSG00000258233.1,0.000649693651295224,0.6377898168784185,0.5264005785954106,ARHGAP42P5
ENSG00000257504.1,0.0017413307487698364,0.6295031281110343,0.5319102213597448,RP11-536C10.7
ENSG00000257644.1,0.0,,,RP11-536C10.13
ENSG00000257175.2,0.003119599126568954,0.471388507603927,0.6389956386340325,RP11-536C10.12
ENSG00000258364.1,0.0,,,RP11-536C10.16
ENSG00000257731.2,0.0006343034558734155,0.2802360880604939,0.7802197038090967,RP11-536C10.11
ENSG00000258076.1,0.004598014824445208,1.2034264141005575,0.2351947136461459,RP11-536C10.14
ENSG00000257558.2,0.022553164822309246,0.9611404762292426,0.3415053844662387,RP11-536C10.15
ENSG00000239200.1,-0.006559076349714241,-0.25006503626512233,0.8033606007433967,RP11-536C10.1
ENSG00000257635.2,0.0033211640196014244,0.26679023286591863,0.790830617035577,RP11-536C10.10
ENSG00000257224.1,0.006858204643111446,0.718403041020618,0.47609703011078364,RP11-536C10.9
ENSG00000277529.1,0.06622718782154967,1.0083794076161352,0.31896503214668537,RP11-536C10.25
